Symbol,Expiry,Strike,CE_LTP,PE_LTP,CE_OI,PE_OI
BANKNIFTY,30-Sep-25,40500,0,5,0,436
BANKNIFTY,30-Sep-25,42000,0,5.8,0,252
BANKNIFTY,30-Sep-25,43500,0,6.9,0,469
BANKNIFTY,30-Sep-25,45000,0,9.15,0,2247
BANKNIFTY,30-Sep-25,46000,0,10.5,0,78
BANKNIFTY,28-Oct-25,46000,0,21.8,0,51
BANKNIFTY,25-Nov-25,46000,0,0,0,0
BANKNIFTY,30-Sep-25,46500,0,10.4,70,1150
BANKNIFTY,28-Oct-25,46500,0,28.5,0,0
BANKNIFTY,25-Nov-25,46500,0,0,0,0
BANKNIFTY,30-Sep-25,47000,7335,11,107,883
BANKNIFTY,28-Oct-25,47000,0,30.95,0,332
BANKNIFTY,25-Nov-25,47000,0,0,0,0
BANKNIFTY,30-Sep-25,47500,0,13.35,1,502
BANKNIFTY,28-Oct-25,47500,0,38.8,0,139
BANKNIFTY,25-Nov-25,47500,0,0,0,0
BANKNIFTY,30-Sep-25,48000,6340.05,14.5,2612,5722.857142857143
BANKNIFTY,28-Oct-25,48000,0,47.8,115,1320
BANKNIFTY,25-Nov-25,48000,0,0,0,0
BANKNIFTY,30-Sep-25,48500,0,15.65,21,985
BANKNIFTY,28-Oct-25,48500,0,53.95,0,151
BANKNIFTY,25-Nov-25,48500,0,0,0,0
BANKNIFTY,30-Sep-25,48700,0,0,0,0
BANKNIFTY,28-Oct-25,48700,0,0,0,0
BANKNIFTY,25-Nov-25,48700,0,0,0,0
BANKNIFTY,30-Sep-25,48800,0,17.4,0,66
BANKNIFTY,28-Oct-25,48800,0,0,0,0
BANKNIFTY,25-Nov-25,48800,0,0,0,0
BANKNIFTY,30-Sep-25,48900,0,17.3,0,48
BANKNIFTY,28-Oct-25,48900,0,0,0,0
BANKNIFTY,25-Nov-25,48900,0,0,0,0
BANKNIFTY,30-Sep-25,49000,5344.8,19,601,4005
BANKNIFTY,28-Oct-25,49000,0,61.05,0,265
BANKNIFTY,25-Nov-25,49000,0,0,0,0
BANKNIFTY,30-Sep-25,49100,0,19,0,48
BANKNIFTY,28-Oct-25,49100,0,0,0,0
BANKNIFTY,30-Sep-25,49200,0,20.5,0,53
BANKNIFTY,28-Oct-25,49200,0,0,0,0
BANKNIFTY,30-Sep-25,49300,0,21.4,0,142
BANKNIFTY,28-Oct-25,49300,0,0,0,0
BANKNIFTY,30-Sep-25,49400,0,21.6,0,44
BANKNIFTY,28-Oct-25,49400,0,0,0,0
BANKNIFTY,25-Nov-25,49400,0,0,0,0
BANKNIFTY,30-Sep-25,49500,4804.45,22.6,34,3663.285714285714
BANKNIFTY,28-Oct-25,49500,0,0,0,0
BANKNIFTY,25-Nov-25,49500,0,0,0,0
BANKNIFTY,30-Sep-25,49600,0,23.8,0,156
BANKNIFTY,28-Oct-25,49600,0,0,0,0
BANKNIFTY,25-Nov-25,49600,0,0,0,0
BANKNIFTY,30-Sep-25,49700,0,24.7,0,200
BANKNIFTY,28-Oct-25,49700,0,0,0,0
BANKNIFTY,25-Nov-25,49700,0,0,0,0
BANKNIFTY,30-Sep-25,49800,0,26,0,156
BANKNIFTY,28-Oct-25,49800,0,0,0,0
